thumb,index,middle,ring,little
"['0', '0', '-1']","[0, 0, 0]","[0, 0, 0]","['0', '0', '-2']","['0', '1', '-3']"
"['0', '0', '-1']","[0, 0, 0]","[0, 0, 0]","['0', '-1', '-1']","['1', '0', '-1']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '1']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '-1']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '-2']","[0, 0, 0]","[0, 0, 0]","['-1', '-2', '-5']","['0', '-2', '-6']"
"['0', '0', '-4']","[0, 0, 0]","[0, 0, 0]","['0', '-2', '-10']","['-1', '-1', '-12']"
"['0', '0', '-3']","[0, 0, 0]","[0, 0, 0]","['-1', '-2', '-11']","['0', '-2', '-14']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '-1', '-1']","['-1', '0', '-1']"
"['0', '0', '-1']","[0, 0, 0]","[0, 0, 0]","['0', '-1', '-1']","['0', '0', '-2']"
"['0', '0', '-4']","[0, 0, 0]","[0, 0, 0]","['0', '-2', '-10']","['0', '-2', '-12']"
"['0', '0', '-1']","[0, 0, 0]","[0, 0, 0]","['0', '0', '-2']","['-1', '0', '-1']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '1', '-1']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '-1']","[0, 0, 0]","[0, 0, 0]","['0', '-1', '-1']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '-1', '-1']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
"['0', '0', '0']","[0, 0, 0]","[0, 0, 0]","['0', '0', '0']","['0', '0', '0']"
